1547421300166;70
1547423100166;70
1547424900166;70
1547426700166;70
1547428500166;60
1547430300166;70
1547432100166;70
1547433900166;70
1547435700166;70
1547437500166;70
1547439300166;50
1547441100166;70
1547442900166;70
1547444700166;70
1547446500166;70
1547448300166;70
1547450100166;70
1547451900166;70
1547453700166;70
1547455500166;70
1547457300166;59
1547459100166;70
1547460900166;70
1547462700166;70
1547464500166;70
1547466300166;70
1547468100166;70
1547469900166;70
1547471700166;70
1547473500166;70
1547475300166;65
