1547421300166;37.4
1547423100166;37.4
1547424900166;37.4
1547426700166;37.4
1547428500166;37.4
1547430300166;37.4
1547432100166;40.1
1547433900166;37.4
1547435700166;37.4
1547437500166;37.4
1547439300166;37.4
1547441100166;37.4
1547442900166;37.4
1547444700166;37.4
1547446500166;37.4
1547448300166;37.4
1547450100166;37.4
1547451900166;37.4
1547453700166;37.4
1547455500166;37.4
1547457300166;40.1
1547459100166;37.4
1547460900166;37.4
1547462700166;37.4
1547464500166;37.4
1547466300166;37.4
1547468100166;37.4
1547469900166;37.4
1547471700166;37.4
1547473500166;37.4
1547475300166;39.2
